,"G10 (%, eop)",3Q25F,4Q25F,1Q26F,2Q26F,3Q26F,4Q26F,2025F,2026F,2027F
,"EMEA (%, eop)",3Q25F,4Q25F,1Q26F,2Q26F,3Q26F,4Q26F,2025F,2026F,2027F
,"Asia (%, eop)",3Q25F,4Q25F,1Q26F,2Q26F,3Q26F,4Q26F,2025F,2026F,2027F
0,US (upper bound),4.25,3.75,3.5,3.25,3.25,3.25,3.75,3.25,3.25
1,Eurozone (deposit rate),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2,Japan (upper bound),0.5,0.75,0.75,0.75,0.75,1.0,0.75,1.0,1.5
3,UK,4.0,3.75,3.5,3.25,3.25,3.25,3.75,3.25,3.25
4,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Sweden,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
6,Norway,4.0,4.0,3.75,3.5,3.25,3.25,4.0,3.25,3.25
7,Canada,2.5,2.25,2.0,2.0,2.0,2.0,2.25,2.0,3.0
8,Australia,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,2.6
9,Czech Republic,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
10,Hungary,6.5,6.5,6.5,6.5,6.25,6.0,6.5,6.0,4.5
11,Poland,4.75,4.0,3.75,3.5,3.25,3.25,4.0,3.25,3.25
12,Romania,6.5,6.5,6.5,6.25,6.0,5.5,6.5,5.5,4.5
13,Turkey,40.5,38.5,35.5,32.5,29.5,27.0,38.5,27.0,21.0
14,Serbia,5.75,5.75,5.5,5.25,5.0,5.0,5.75,5.0,4.5
15,Azerbaijan,7.0,7.0,7.25,7.25,7.5,8.0,7.0,8.0,10.5
16,Kazakhstan,16.5,18.0,19.0,18.0,17.5,17.0,18.0,17.0,13.5
17,Russia,17.0,16.0,16.0,16.0,15.0,13.0,16.0,13.0,7.5
18,Ukraine,15.5,15.0,14.5,14.0,13.0,13.0,15.0,13.0,11.5
19,China (7 day reverse repo rate),1.4,1.4,1.3,1.3,1.2,1.2,1.4,1.2,1.2
20,India,5.5,5.25,5.0,5.0,5.0,5.0,5.25,5.0,5.5
21,Indonesia,4.75,4.5,4.25,4.25,4.25,4.25,4.5,4.25,5.25
22,Korea,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
23,Philippines,5.0,4.5,4.25,4.25,4.25,4.25,4.5,4.25,5.0
24,Taiwan,2.0,2.0,2.0,1.88,1.88,1.88,2.0,1.88,1.88
