,G10 (eop),Unnamed: 1_level_0,2Q26F,3Q26F,4Q26F,2027F
,EMEA (eop),Unnamed: 1_level_1,2Q26F,3Q26F,4Q26F,2027F
,CIS (eop),Unnamed: 1_level_2,2Q26F,3Q26F,4Q26F,2027F
,Latam (eop),Unnamed: 1_level_3,2Q26F,3Q26F,4Q26F,2027F
,Asia (eop),Unnamed: 1_level_4,2Q26F,3Q26F,4Q26F,2027F
0,Euro,EUR/USD,1.17,1.18,1.2,1.22
1,Japan,USD/JPY,158.0,158.0,155.0,150.0
2,UK,GBP/USD,1.34,1.34,1.36,1.36
3,Japan,EUR/JPY,185.0,186.0,186.0,183.0
4,UK,EUR/GBP,0.87,0.88,0.88,0.9
5,Canada,USD/CAD,1.37,1.36,1.34,1.33
6,Australia,AUD/USD,0.73,0.74,0.75,0.73
7,New Zealand,NZD/USD,0.59,0.6,0.61,0.61
9,Switzerland,EUR/CHF,0.92,0.92,0.92,0.95
10,Sweden,EUR/SEK,10.9,10.8,10.7,10.5
11,Norway,EUR/NOK,10.75,10.6,10.5,10.5
12,Denmark,EUR/DKK,7.47,7.46,7.46,7.46
13,Serbia,EUR/RSD,117.35,117.3,117.3,117.2
14,Czech Republic,EUR/CZK,24.32,24.26,24.2,24.03
15,Hungary,EUR/HUF,350.0,365.0,350.0,340.0
16,Poland,EUR/PLN,4.23,4.24,4.22,4.25
17,Turkey,USD/TRY,46.8,49.6,53.0,62.0
18,South Africa,USD/ZAR,16.25,16.0,16.0,15.5
19,Israel,USD/ILS,3.0,3.05,3.05,3.05
20,Azerbaijan,USD/AZN,1.7,1.7,1.7,1.7
21,Kazakhstan,USD/KZT,470.0,480.0,490.0,540.0
22,Russia,USD/RUB,75.0,80.0,85.0,93.0
23,,EUR/RUB,87.75,94.4,102.0,113.46
24,Uzbekistan,USD/UZS,11970.0,12085.0,12130.0,12615.0
25,Ukraine,USD/UAH,42.8,42.8,42.8,43.5
26,Brazil,USD/BRL,5.0,4.75,4.5,4.75
27,Mexico,USD/MXN,17.5,17.5,17.25,17.25
28,Chile,USD/CLP,900.0,875.0,875.0,875.0
29,China,USD/CNY,6.78,6.75,6.7,6.55
30,India,USD/INR,97.0,96.5,95.5,94.0
31,Indonesia,USD/IDR,17800.0,17600.0,17300.0,17000.0
32,Korea,USD/KRW,1475.0,1450.0,1425.0,1400.0
33,Philippines,USD/PHP,61.75,61.5,61.0,59.0
34,Singapore,USD/SGD,1.27,1.27,1.26,1.26
35,Taiwan,USD/TWD,31.3,31.0,30.9,30.2
